,leiden
pkg-2,2
hyl-1,0
npr-22,3
Y59H11AM.4,11
Y59H11AM.1,5
catp-7,2
clec-181,6
Y59H11AR.4,14
F42A9.6,2
cyp-33E2,2
cyp-33E3,6
F42A9.3,8
F42A9.8,4
lin-49,1
F42A9.11,6
dgk-4,1
F42A9.9,2
C49C8.3,3
cyp-33E1,3
C49C8.5,2
C49C8.2,3
C49C8.8,5
C49C8.1,6
C49C8.6,6
cdh-5,2
F08B4.8,6
F08B4.4,7
pole-2,1
F08B4.7,0
hst-1,1
dic-1,4
ttll-11,5
H23L24.4,3
parg-2,2
ipla-5,3
H23L24.1,7
F21D5.9,0
F21D5.1,4
otub-3,0
F21D5.3,2
F21D5.5,0
F21D5.4,1
mrps-33,0
F21D5.6,0
F21D5.7,0
parg-1,1
elli-1,4
klp-11,0
F20C5.4,3
F20C5.5,1
F20C5.6,0
C33D9.6,0
C33D9.13,0
C33D9.8,2
C33D9.10,2
sru-35,10
C33D9.3,9
clec-182,3
exc-5,7
grsp-2,4
T28C6.10,0
T28C6.3,1
T28C6.5,4
col-117,2
col-3,2
T28C6.7,0
T28C6.8,1
T28C6.11,4
T11B7.1,0
T11B7.2,2
col-118,0
alp-1,0
T11B7.5,5
C09G9.1,1
npp-23,1
C09G9.3,4
hdl-2,3
npax-4,3
C09G9.5,5
oma-1,4
spr-2,1
C27B7.2,1
rad-26,0
C27B7.5,4
C27B7.6,4
C27B7.7,2
C27B7.9,2
rap-1,0
D1046.16,4
D1046.2,1
cfim-2,1
D1046.18,3
slc-25A26,1
D1046.4,5
tpra-1,2
C53B4.2,11
C53B4.1,8
C53B4.3,1
C53B4.4,1
col-119,8
nstp-1,1
bre-1,0
mltn-12,2
C53D6.8,2
unc-129,7
C53D6.11,2
acc-2,5
C53D6.4,1
C53D6.6,0
C53D6.7,5
Y73F4A.3,9
Y73F4A.2,3
Y73F4A.1,2
nhr-11,2
mppb-1,1
mans-4,4
twk-8,13
msa-1,7
lpl-1,0
icln-1,1
C01F6.9,1
cpna-3,1
C01F6.2,5
C01F6.14,1
fem-3,4
aly-1,0
nrfl-1,0
delm-1,10
daf-10,7
flp-1,7
rpb-12,1
aly-2,1
F23B2.7,5
F23B2.10,5
pcp-3,2
pcp-2,6
C07C7.1,3
C46C2.7,1
wnk-1,0
C46C2.6,3
C46C2.2,0
C46C2.3,5
Y11D7A.3,7
rab-28,7
Y11D7A.5,2
Y11D7A.7,4
Y11D7A.8,10
Y11D7A.9,2
Y11D7A.10,1
col-120,6
flh-1,0
Y11D7A.19,4
flh-3,1
hum-9,13
nhr-264,10
F49C12.1,11
F49C12.2,3
F49C12.3,10
F49C12.4,3
F49C12.5,3
F49C12.6,3
F49C12.7,9
F49C12.9,0
rpn-7,0
F49C12.10,7
F49C12.11,0
F49C12.12,0
vha-17,0
F49C12.14,3
F49C12.15,6
T20D3.2,2
T20D3.3,0
T20D3.5,1
T20D3.6,0
vps-26,1
T20D3.8,0
pezo-1,0
C10C5.2,3
C10C5.3,2
C10C5.4,4
C10C5.5,4
C10C5.7,10
daf-15,0
col-121,1
F56D5.2,6
F56D5.3,4
