,leiden
clec-52,2
C07G1.15,2
pct-1,4
wsp-1,0
glrx-22,4
hgrs-1,0
svh-1,3
C07G1.6,11
C07G1.7,6
ocr-2,5
gpx-6,0
T09A12.5,0
nhr-66,0
T09A12.8,14
T09A12.1,2
vit-6,13
K07H8.8,2
K07H8.5,6
K07H8.11,9
K07H8.12,3
K07H8.9,1
K07H8.10,4
daf-31,0
K07H8.2,0
tbce-1,0
nprl-3,0
F35H10.6,0
F35H10.5,0
vha-5,3
F35H10.10,1
F35H10.3,2
F35H10.2,5
his-29,1
his-30,2
lys-10,2
his-31,0
his-32,4
his-33,2
his-34,2
lgc-6,0
lgc-5,0
F17E9.5,11
F17E9.16,6
F17E9.3,9
F17E9.2,9
col-116,12
D2096.13,6
D2096.5,1
sqv-1,0
D2096.12,1
aagr-1,2
D2096.6,1
D2096.7,0
nap-1,4
praf-3,0
D2096.9,8
D2096.10,2
D2096.11,2
timm-17B.2,1
sdz-25,2
M116.1,2
M116.5,2
tmem-231,8
T26A8.3,3
T26A8.4,4
T26A8.1,0
T01B11.1,5
T01B11.2,3
syx-4,2
ant-1.4,2
oat-1,5
C28C12.11,2
spp-10,4
hlh-12,2
spp-8,1
C28C12.4,5
sru-7,10
C28C12.12,1
acdh-13,0
mesp-1,10
C28C12.1,1
tag-77,1
mes-6,2
C09G4.4,4
cks-1,4
pkg-2,3
hyl-1,0
npr-22,2
Y59H11AM.4,13
Y59H11AM.1,5
catp-7,3
clec-181,9
Y59H11AR.4,9
F42A9.6,7
cyp-33E2,3
cyp-33E3,6
F42A9.3,6
F42A9.8,1
lin-49,0
F42A9.11,12
dgk-4,1
F42A9.9,3
C49C8.3,2
cyp-33E1,2
C49C8.5,1
C49C8.2,3
C49C8.8,5
C49C8.1,2
C49C8.6,6
cdh-5,1
F08B4.8,6
F08B4.4,8
pole-2,0
F08B4.7,4
hst-1,0
dic-1,1
ttll-11,3
H23L24.4,2
parg-2,3
ipla-5,2
H23L24.1,8
F21D5.9,0
F21D5.1,1
otub-3,0
F21D5.3,3
F21D5.5,0
F21D5.4,0
mrps-33,0
F21D5.6,0
F21D5.7,0
parg-1,1
elli-1,2
klp-11,0
F20C5.4,2
F20C5.5,0
F20C5.6,4
C33D9.6,4
C33D9.13,4
C33D9.8,1
C33D9.10,3
sru-35,12
C33D9.3,11
clec-182,2
exc-5,0
grsp-2,1
T28C6.10,4
T28C6.3,0
T28C6.5,1
col-117,3
col-3,3
T28C6.7,0
T28C6.8,0
T28C6.11,1
T11B7.1,0
T11B7.2,1
col-118,0
alp-1,7
T11B7.5,5
C09G9.1,1
npp-23,0
C09G9.3,1
hdl-2,2
npax-4,2
C09G9.5,5
oma-1,1
spr-2,0
C27B7.2,0
rad-26,0
C27B7.5,1
C27B7.6,1
C27B7.7,1
C27B7.9,3
rap-1,0
D1046.16,2
