,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
AVG:330_390,0.4640185675906032,0.10119269622595133,0.017286666528078226,0.0011116627474669905,0.008530832056485388,0.0005962360193811862,0.0005371321241083972,0.40451286773322703,0.00010771175397127224,9.242626381451648e-05,1.21264888576929e-05,2.731007574673695e-05,2.7106269211313545e-05,0.0019261755662866489,2.0482556810052718e-05,0.0
AVG:390_510,0.43253313606074395,0.09018112537330858,0.04857482780406989,0.0026711356071685587,0.008319854359929144,0.005211467915738293,0.0004508890956439712,0.4087044119250041,9.00951630159356e-05,0.000154360290763541,0.0002641896007244808,4.876710658660733e-05,0.0,0.002767636618931039,2.8103078371943214e-05,0.0
AVG:510_650,0.3975353498671381,0.08209620030694513,0.08385608923738938,0.002401397830437764,0.0069707672936019215,0.01878967277055517,0.0003793692142450712,0.4023343239486705,9.863806142228237e-05,0.00025036508993467267,0.0003970311079657103,0.00017321050157609162,8.014988027611633e-05,0.004592918654791677,4.451623505026565e-05,0.0
AVH:330_390,0.40762102846382464,0.09018681440425078,0.02244471425644295,0.0016611885328786744,0.007768375958298326,0.0015056982582327242,0.00017083470964390578,0.4661347808113953,0.00012439221971676014,0.00014147569068115074,0.0,0.0,6.976603112403817e-05,0.0021709306635107595,0.0,0.0
AVH:390_510,0.3923983093610337,0.08275234468234433,0.047914020540061664,0.003055329259767833,0.008866267239231495,0.007276238397593466,0.00022163599633343945,0.4526182471478199,7.467157692615178e-05,4.995342334533422e-05,0.0002478020752286145,0.00014427541525205225,5.388350634144748e-05,0.00432702137872069,0.0,0.0
AVH:510_650,0.36629928954773455,0.08680852064165184,0.060599121455885085,0.005135002931663742,0.010272629510850305,0.020562050365846657,0.0004315375445534704,0.4440765857404337,0.00019729829371608083,0.0004431865395547922,0.0005182228587074507,7.367202244079188e-05,0.00011155749267031592,0.004471325054291138,0.0,0.0
AVJ:330_390,0.43607399216905696,0.0891681269338888,0.036024639126422384,0.0021912997489508114,0.006772277109732135,0.0016672575539485568,9.204897210782591e-05,0.4243498707461895,7.643352148239117e-05,9.163803919663028e-05,0.0,5.126388067165752e-05,0.0,0.003441152198352385,0.0,0.0
AVJ:390_510,0.4299934013444023,0.09540935124060627,0.05184610621836548,0.004042259153472549,0.00921419240213125,0.002976593364037296,0.0003364061117781808,0.40001773175071936,6.970483781610704e-05,6.204041285564355e-05,0.0002316934950886054,0.0,0.0,0.005800519668726981,0.0,0.0
AVK:390_510,0.41007993080295374,0.07938516862815106,0.02743909319987336,0.0015384915686432784,0.0065027777839906185,0.0019724980780292667,0.0002703263781816216,0.4705694990920328,2.582282815273857e-05,0.00013277406916329358,0.0001400939259624951,3.7310936740374234e-05,2.7347798319238878e-05,0.001878864909806148,0.0,0.0
AVK:510_650,0.3243921672538823,0.06022691111985711,0.04446300582082762,0.002127982851636266,0.005274497911128458,0.004673084743763589,0.0001894134081758608,0.5553087151873515,3.010137405605572e-05,0.00011211226051490139,0.00012644624816064224,4.730215923094471e-05,2.672264839670253e-05,0.00294368913430496,1.6484085792601945e-05,4.1363792920566354e-05
AVK:gt_650,0.2464165085477397,0.052619787694175,0.05797632552399388,0.002376519536454796,0.005206533473037049,0.015919301956517574,0.0002612021256999648,0.6141993407385314,2.180950716350157e-05,0.0004923009879911529,2.262864358278802e-05,0.0,3.071761572324165e-05,0.004389956855060876,6.706679432907761e-05,0.0
AVL:330_390,0.4477254367547617,0.1106853712242061,0.0184684400926397,0.0010912510521750363,0.010920937170801908,0.001095361612687985,0.00039194194490965137,0.4077885667431197,0.00024026226198184717,8.683559083603971e-05,0.0,0.0,0.0,0.0015055955518802574,0.0,0.0
AVL:390_510,0.4509600584599055,0.0884391031628859,0.03788403578354625,0.0027788501121749037,0.008916437549908326,0.00409671923539205,0.00048337711764229337,0.4027257798925039,5.166493348036484e-05,0.00011655608993170308,2.9965661418611607e-05,5.734807616320498e-05,7.429417434476465e-05,0.0033561540788845,2.4179188868810745e-05,5.476482948918674e-06
AVL:gt_650,0.3658869764237591,0.07051440671350429,0.11902536407367427,0.002986968534434829,0.00634614337324724,0.07165463147848627,0.0004902355636238793,0.3540470887047863,0.0,0.0013052586590509493,0.0,0.0,0.00010539805781818566,0.007595182832499294,4.2345585115557895e-05,0.0
AWA:330_390,0.3633706503764622,0.09291807564178056,0.026606528552549847,0.001489630588200844,0.00827441720980488,0.0007103620194472098,0.0003362393877002936,0.5036034644124293,0.0,8.979352710510277e-05,3.8292792630910416e-05,3.685937258590307e-05,0.0,0.002480226226446989,0.0,4.545989285594712e-05
AWA:390_510,0.3715546411013294,0.08636795423220422,0.0463528074807353,0.0019492581788842348,0.0073133592168420644,0.004369255231419285,0.0002218237271335944,0.4780980642162377,6.273802383576409e-05,8.483891859609005e-05,3.6257689099889627e-05,2.515631799908073e-05,0.0,0.0034953023376941353,3.98223495451035e-05,2.8720978444294593e-05
AWA:510_650,0.33800050543789095,0.083776897529015,0.07962038747969923,0.0033837118051298753,0.0077718035564391715,0.03467064720486762,0.00021384703915163967,0.4476953754082711,2.2683871076837383e-05,0.00035149689318608474,0.00041181536854949333,0.0,0.0001456923174162329,0.0038637850039196704,0.0,7.135108538714305e-05
AWA:gt_650,0.32943773783428504,0.09379896703738434,0.1074656701170323,0.004884227142850709,0.009600982501136116,0.06946769423192194,0.00032991627353389663,0.3743875209117168,9.729911686126664e-05,0.002757890576093513,9.206235061469686e-05,2.3251242134769847e-05,0.0,0.007656780664434617,0.0,0.0
AWB:390_510,0.3721432191733436,0.0786809005240219,0.042991820520189836,0.0019728157991062137,0.006492747191970653,0.004796464922148496,0.00034327949869611694,0.4892122969848194,6.349502417433357e-05,0.00013460945124958715,8.838507365067233e-05,4.1551143819683894e-05,1.645791026598726e-05,0.0030063116085870057,1.5645173956555788e-05,0.0
AWB:510_650,0.3426464776603455,0.08069220926213971,0.08672101532566061,0.0037106623555551188,0.006859481974384392,0.044466577434440914,0.0003677084038262751,0.4302201756094336,3.0892051908978995e-05,5.8064659440957174e-05,0.00013854930304328037,0.00012646110881802774,0.00025953456319516803,0.003632037434141297,0.0,7.015285366620984e-05
AWC:330_390,0.4227808891225995,0.0954586576729352,0.01728398661379771,0.0010489447039251881,0.0075605781113612484,0.0007992736396902978,0.00020440607749732745,0.453464637136904,0.0,5.586759624365856e-05,0.0,2.059353000222451e-05,4.41435568859565e-05,0.0012780222381578534,0.0,0.0
AWC:390_510,0.3754639855404031,0.08141448260171402,0.04333916561396788,0.0016703327440246991,0.005789513954656171,0.005408971577892868,0.0001425893805874743,0.4850603927339208,2.624779642655e-05,4.783382205919536e-05,3.5469995171013517e-05,2.5335710836438225e-05,3.121359575049189e-05,0.0015225748784265915,1.1857112671453087e-05,1.0032941491229537e-05
AWC:510_650,0.3669401527572165,0.08257839439773633,0.08485704179558602,0.0023380601402161172,0.006666396019980271,0.04696357426240002,0.0001815105296047764,0.405597498406542,0.00012976724623575282,0.0003705882587536393,7.556973598756608e-05,2.9143944190062688e-05,8.364823279814485e-05,0.00317761025179652,0.0,1.1044020956234284e-05
AWC:gt_650,0.3469622993984459,0.08376682023898104,0.1191006091166868,0.004167879741244736,0.00821994486769756,0.06824249617377852,0.0003506465678891634,0.3616123832581451,2.3348887549484666e-05,0.001837330160088652,4.142877835107677e-05,0.0,0.0,0.005650844041622182,2.3968769519824962e-05,0.0
B:270_330,0.399494069556718,0.11743422766584448,0.012171166369625331,0.0043344345224469545,0.012849744123674695,0.0053838593526011344,0.0006609377913971432,0.4459344831394077,5.8731898772717455e-05,0.00010074152081153618,0.0,0.0,0.0,0.0015776040587004935,0.0,0.0
B:330_390,0.372242137286064,0.14167699213118615,0.0209216499719813,0.0035402178466265102,0.010879823895383757,0.014768301907219063,0.0010732810331383338,0.43243660527022093,0.00010395519797519059,0.00030253628128677263,0.0002217505850299184,5.9153993325133106e-05,0.00021498427036881134,0.0015586103301941053,0.0,0.0
BAG:390_510,0.4009230684951519,0.08473736322375001,0.034544816350049815,0.0017583851221526295,0.007537023172580027,0.005535976236996999,0.00018950345630768545,0.4631425922206194,3.2361671607147565e-05,4.199916001679967e-05,0.00010337474409932093,4.017310958128663e-05,2.718786203986065e-05,0.0013861751750472238,0.0,0.0
BAG:510_650,0.3354564723232241,0.07180032807959585,0.08047246574279356,0.0029906394316781717,0.006337677900044866,0.03442521875897781,0.00013637561530281838,0.4637559277831734,2.1091123687973406e-05,9.736727488962485e-05,0.000136170847111673,2.733655351790729e-05,0.00045816882768777195,0.003873497487801447,0.0,1.1262250512995512e-05
B_F_K_Kp_U_Y:390_450,0.3406266109466566,0.1413324948343583,0.06691961063636087,0.004254478088744154,0.012169969153687895,0.016921003187959575,0.0007589147374305134,0.4142709516117827,6.357075699622581e-05,0.00018387893228875745,0.00013097232508180076,4.296720546161843e-05,9.525260005949143e-06,0.0019645848762270108,0.00035046744695802016,0.0
B_F_K_Kp_U_Y:450_510,0.3484806644602433,0.12517323357272808,0.11520454104309436,0.004580974203927478,0.0099184188103079,0.014324103256667798,0.0006343330229865014,0.3781260178114956,0.00014773688071825002,0.00036538404597958284,0.00024119048167363578,3.1048391076486785e-05,1.4496103118492176e-05,0.0022301380769243428,0.0005277198390583002,0.0
B_F_K_Kp_U_Y:510_580,0.3821091110028789,0.08903365205090663,0.2253217455799564,0.007846870343574406,0.00769693145238994,0.0137309975274441,0.0006216002869145294,0.2646292207105606,0.0003190560126367103,0.00027854584709781593,0.00028541719163226116,4.717639531111756e-05,6.645718296000907e-05,0.006564903079685342,0.0014239066793468613,2.440865670444778e-05
B_F_K_Kp_U_Y:580_650,0.42080916401385854,0.05082734374001202,0.26398169242767106,0.013633925261125814,0.007422544394584436,0.01052736547386185,0.00047343995704368495,0.20819933775681101,0.000151369871770286,0.0006201050895562459,0.0005898311152021888,3.671742159833289e-05,1.1455017323156775e-05,0.022073716104782724,0.0006281849678466867,1.380738695201933e-05
BWM_anterior:210_270,0.3875277706779969,0.11301014279065835,0.004557891209749537,0.0004471348971589737,0.011514959199066716,0.0005545562067629229,0.00045187555589266905,0.480287534064659,2.561973017784329e-05,3.0057793673217717e-05,1.8962634934781647e-05,2.2492912715193125e-05,4.1354682570534435e-06,0.0015227601043106304,1.3112460327242627e-05,1.0994293658995744e-05
BWM_anterior:270_330,0.377654002406815,0.10205434706176844,0.004419572731230239,0.0003615030594036973,0.00991063291783353,0.0004324213653216296,0.0003258435722472228,0.5016857121049335,1.9833085553320045e-05,3.025046382375078e-05,2.494160758978127e-05,5.509190431477791e-06,2.4040103700994e-06,0.0030703219110119503,7.011696912789915e-07,2.003341975082833e-06
